objetID,dateReferentiel,route,longueur,prD,depPrD,concessionPrD,absD,cumulD,x_debut,y_debut,zD,prF,depPrF,concessionPrF,absF,cumulF,xF,yF,zF,cote,voie,accrochage,anneeMesureTrafic,typeComptageTrafic,typeComptageTrafic_lib,trafic_moyen_journalier,ratio_PL
TMJ19_40,01/01/2019,A0003,1068,13,93,N,959,13701,"661436,37","6873324,45",0,15,93,N,0,14769,"661828,24","6874285,56",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,136851.0,112
TMJ19_41,01/01/2019,A0003,234,15,93,N,0,14769,"661828,24","6874285,56",0,15,93,N,234,15003,"662054,31","6874505,58",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,136851.0,112
TMJ19_44,01/01/2019,A0004,"730,1",0,94,N,0,0,"655327,41","6858648,39",0,0,94,N,"730,1","730,1","655913,12","6858057,42",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,221626.0,
TMJ19_45,01/01/2019,A0004,"2255,9",0,94,N,"730,1","730,1","655913,12","6858057,42",0,2,94,N,968,2986,"658101,96","6857611,05",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,221626.0,
TMJ19_46,01/01/2019,A0004,744,2,94,N,968,2986,"658101,96","6857611,05",0,3,94,N,708,3730,"658839,93","6857621,59",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,221626.0,
TMJ19_47,01/01/2019,A0004,1114,3,94,N,708,3730,"658839,93","6857621,59",0,4,94,N,820,4844,"659928,26","6857581,56",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,221626.0,
TMJ19_48,01/01/2019,A0004,465,4,94,N,820,4844,"659928,26","6857581,56",0,5,94,N,266,5309,"660289,91","6857857,29",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,218577.0,80
TMJ19_49,01/01/2019,A0004,744,5,94,N,266,5309,"660289,91","6857857,29",0,6,94,N,5,6053,"660644,54","6858469,45",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,218577.0,80
TMJ19_50,01/01/2019,A0004,591,6,94,N,5,6053,"660644,54","6858469,45",0,6,94,N,596,6644,"661159,54","6858749,04",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,218577.0,80
TMJ19_51,01/01/2019,A0004,1123,6,94,N,596,6644,"661159,54","6858749,04",0,7,94,N,720,7767,"662254,01","6858982,54",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,218577.0,80
TMJ19_52,01/01/2019,A0004,1441,7,94,N,720,7767,"662254,01","6858982,54",0,9,94,N,158,9208,"663631,57","6858755,68",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,166109.0,148
TMJ19_53,01/01/2019,A0004,3337,9,94,N,158,9208,"663631,57","6858755,68",0,12,94,N,464,12545,"666569,29","6859712,71",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,166109.0,148
TMJ19_54,01/01/2019,A0004,236,12,94,N,464,12545,"666569,29","6859712,71",0,12,94,N,700,12781,"666813,7","6859697,02",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,166109.0,148
Sanef_80,01/01/2019,A0004,858,13,93,C,0,13081,"667107,88","6859671,17",0,13,93,C,858,13939,"667951,08","6859600,37",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,163077.0,"4,86"
Sanef_81,01/01/2019,A0004,1471,13,93,C,858,13939,"667951,08","6859600,37",0,15,93,C,329,15410,669403,"6859476,1",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,181137.0,"4,75"
Sanef_82,01/01/2019,A0004,1965,18,77,C,35,18116,"672042,48","6858927,22",0,20,77,C,0,20081,"673981,97","6859111,11",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,175703.0,"7,63"
Sanef_83,01/01/2019,A0004,1406,20,77,C,0,20081,"673981,97","6859111,11",0,21,77,C,406,21487,"675391,58","6859186,65",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,179841.0,"14,55"
Sanef_84,01/01/2019,A0004,3074,21,77,C,406,21487,"675391,58","6859186,65",0,24,77,C,480,24561,"678452,24","6858902,06",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,126847.0,"4,62"
Sanef_85,01/01/2019,A0004,6582,24,77,C,480,24561,"678452,24","6858902,06",0,31,77,C,62,31143,"685000,15","6859283,64",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,110475.0,"4,04"
Sanef_86,01/01/2019,A0004,2938,31,77,C,62,31143,"685000,15","6859283,64",0,34,77,C,0,34081,"687531,86","6860650,79",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,62284.0,"4,46"
Sanef_87,01/01/2019,A0004,1948,34,77,C,0,34081,"687531,86","6860650,79",0,35,77,C,948,36029,"688592,33","6862280,8",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,38339.0,"7,81"
Sanef_88,01/01/2019,A0004,4802,35,77,C,948,36029,"688592,33","6862280,8",0,40,77,C,750,40831,"692371,39","6865136,19",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,62264.0,"8,23"
Sanef_89,01/01/2019,A0004,13424,40,77,C,750,40831,"692371,39","6865136,19",0,54,77,C,174,54255,"703123,88","6872380,35",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,30215.0,"9,99"
Sanef_90,01/01/2019,A0004,10605,54,77,C,174,54255,"703123,88","6872380,35",0,64,77,C,779,64860,"710998,76","6879163,55",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,23408.0,"11,24"
Sanef_91,01/01/2019,A0004,2996,64,77,C,779,64860,"710998,76","6879163,55",0,67,77,C,775,67856,"712935,31","6881400,97",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21623.0,"11,8"
CtC3VtJ_section1_Sanef_91,01/01/2019,A0004,17935,67,77,C,775,67856,"712935,31","6881400,97",0,85,2,C,710,85791,"729306,72","6886795,58",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21623.0,"11,8"
Sanef_92,01/01/2019,A0004,16730,85,2,C,710,85791,"729306,72","6886795,58",0,102,2,C,440,102521,"744513,26","6892913,47",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21639.0,"11,27"
CtC3VtJ_section1_Sanef_92,01/01/2019,A0004,6660,102,2,C,440,102521,"744513,26","6892913,47",0,109,51,C,100,109181,"750798,74","6894780,16",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21639.0,"11,27"
CtC3VtJ_section2_Sanef_92,01/01/2019,A0004,1805,109,51,C,100,109181,"750798,74","6894780,16",0,110,2,C,905,110986,"752403,92","6895434,02",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21639.0,"11,27"
Sanef_93,01/01/2019,A0004,3210,110,2,C,905,110986,"752403,92","6895434,02",0,114,2,C,115,114196,"754533,15","6897821,37",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,22789.0,"10,94"
CtC3VtJ_section1_Sanef_93,01/01/2019,A0004,17935,114,2,C,115,114196,"754533,15","6897821,37",0,132,51,C,50,132131,"769236,05","6905742,86",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,22789.0,"10,94"
Sanef_94,01/01/2019,A0004,1080,132,51,C,50,132131,"769236,05","6905742,86",0,133,51,C,130,133211,"770220,85","6905303,48",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,11749.0,"9,57"
Sanef_95,01/01/2019,A0004,5600,133,51,C,130,133211,"770220,85","6905303,48",0,138,51,C,730,138811,"773548,81","6901331,29",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,27289.0,"17,3"
Sanef_96,01/01/2019,A0004,6214,138,51,C,730,138811,"773548,81","6901331,29",0,144,51,C,944,145025,"779566,74","6901041,73",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,25477.0,"18,16"
Sanef_97,01/01/2019,A0004,22846,144,51,C,944,145025,"779566,74","6901041,73",0,167,51,C,790,167871,"794045,61","6884731,3",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,37347.0,"16,77"
Sanef_98,01/01/2019,A0004,3010,167,51,C,790,167871,"794045,61","6884731,3",0,170,51,C,800,170881,"796688,91","6883353,48",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,25694.0,"18,34"
Sanef_99,01/01/2019,A0004,8812,170,51,C,800,170881,"796688,91","6883353,48",0,179,51,C,612,179693,"805303,52","6882591,5",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16893.0,"17,83"
Sanef_100,01/01/2019,A0004,32586,179,51,C,612,179693,"805303,52","6882591,5",0,212,51,C,198,212279,"836596,57","6887533,58",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16521.0,"17,83"
Sanef_101,01/01/2019,A0004,9698,212,51,C,198,212279,"836596,57","6887533,58",0,221,51,C,896,221977,"845737,63","6889853,82",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16713.0,"19,79"
CtC3VtJ_section1_Sanef_101,01/01/2019,A0004,8354,221,51,C,896,221977,"845737,63","6889853,82",0,230,55,C,250,230331,"853526,24","6890009,81",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16713.0,"19,79"
Sanef_102,01/01/2019,A0004,12985,230,55,C,250,230331,"853526,24","6890009,81",0,243,55,C,235,243316,"866183,97","6890869,49",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16720.0,"19,65"
Sanef_103,01/01/2019,A0004,10800,243,55,C,235,243316,"866183,97","6890869,49",0,254,55,C,35,254116,"876065,92","6892739,02",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,15930.0,"19,63"
Sanef_104,01/01/2019,A0004,16303,254,55,C,35,254116,"876065,92","6892739,02",0,270,55,C,338,270419,"890950,21","6895025,63",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,17570.0,"19,28"
Sanef_105,01/01/2019,A0004,10500,270,55,C,338,270419,"890950,21","6895025,63",0,280,55,C,838,280919,"900184,71","6899352,83",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16975.0,"19,43"
CtC3VtJ_section1_Sanef_105,01/01/2019,A0004,11973,280,55,C,838,280919,"900184,71","6899352,83",0,292,54,C,811,292892,"911048,86","6903691,66",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,16975.0,"19,43"
Sanef_106,01/01/2019,A0004,6363,292,54,C,811,292892,"911048,86","6903691,66",0,299,54,C,174,299255,"917316,77","6903909,26",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,17874.0,"18,94"
CtC3VtJ_section1_Sanef_106,01/01/2019,A0004,552,299,54,C,174,299255,"917316,77","6903909,26",0,299,54,C,726,299807,"917682,12","6903726,32",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,17874.0,"18,94"
Sanef_107,01/01/2019,A0004,12160,299,54,C,726,299807,"917682,12","6903726,32",0,311,57,C,886,311967,"928029,34","6905343,85",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,24491.0,"16,83"
Sanef_108,01/01/2019,A0004,1164,311,57,C,886,311967,"928029,34","6905343,85",0,313,57,C,50,313131,"928920,43","6904680,3",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,33587.0,"13,02"
Sanef_109,01/01/2019,A0004,2779,313,57,C,50,313131,"928920,43","6904680,3",0,315,57,C,829,315910,"931369,53","6904793,41",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,57785.0,"9,22"
Sanef_110,01/01/2019,A0004,2483,315,57,C,829,315910,"931369,53","6904793,41",0,318,57,C,312,318393,"933808,09","6904492,99",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,59004.0,"13,16"
Sanef_111,01/01/2019,A0004,7888,318,57,C,312,318393,"933808,09","6904492,99",0,326,57,C,200,326281,"936825,87","6898375,98",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,52150.0,"10,28"
Sanef_112,01/01/2019,A0004,2659,326,57,C,200,326281,"936825,87","6898375,98",0,328,57,C,859,328940,"938588,09","6896894,76",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,21308.0,"21,72"
Sanef_113,01/01/2019,A0004,14641,328,57,C,859,328940,"938588,09","6896894,76",0,343,57,C,500,343581,"952702,85","6898965,3",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,36913.0,"16,35"
Sanef_114,01/01/2019,A0004,18800,343,57,C,500,343581,"952702,85","6898965,3",0,362,57,C,300,362381,"970909,54","6899281,92",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,31229.0,"18,42"
Sanef_115,01/01/2019,A0004,7200,362,57,C,300,362381,"970909,54","6899281,92",0,369,57,C,500,369581,"977743,07","6899971,66",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,40025.0,"17,42"
Sanef_116,01/01/2019,A0004,5300,369,57,C,500,369581,"977743,07","6899971,66",0,374,57,C,800,374881,"981432,35","6896692,34",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,22814.0,"14,94"
Sanef_117,01/01/2019,A0004,6800,374,57,C,800,374881,"981432,35","6896692,34",0,381,57,C,600,381681,"986330,85","6892585,29",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,19349.0,"16,03"
Sanef_118,01/01/2019,A0004,8600,381,57,C,600,381681,"986330,85","6892585,29",0,390,57,C,200,390281,"994165,89","6889980,17",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,17690.0,"17,08"
Sanef_119,01/01/2019,A0004,2896,390,57,C,200,390281,"994165,89","6889980,17",0,393,57,C,96,393177,"996842,41","6889455,24",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,20621.0,"16,44"
CtC3VtJ_section1_Sanef_119,01/01/2019,A0004,15104,393,57,C,96,393177,"996842,41","6889455,24",0,408,67,C,200,408281,"1001897,95","6876301,66",0,I,0,ACCROCHE,2019.0,1.0,Permanent horaire,20621.0,"16,44"
