code_geo,GEO_OBJECT,FREQ,type_population,annee,valeur_population
08499,COM,A,Population totale,2016,343
10250,COM,A,Population municipale,2016,240
10007,COM,A,Population totale,2016,110
10199,COM,A,Population comptée à part,2016,8
09215,COM,A,Population totale,2016,147
10134,COM,A,Population totale,2016,107
09128,COM,A,Population municipale,2016,311
09121,COM,A,Population totale,2016,907
10285,COM,A,Population comptée à part,2016,3
18020,COM,A,Population totale,2016,944
17109,COM,A,Population totale,2016,1376
17422,COM,A,Population municipale,2016,77
16338,COM,A,Population totale,2016,325
17180,COM,A,Population municipale,2016,93
18046,COM,A,Population municipale,2016,173
17179,COM,A,Population municipale,2016,1697
18073,COM,A,Population comptée à part,2016,7
17396,COM,A,Population municipale,2016,1692
17347,COM,A,Population municipale,2016,7066
17080,COM,A,Population totale,2016,923
16374,COM,A,Population totale,2016,9983
12103,COM,A,Population municipale,2016,279
11126,COM,A,Population municipale,2016,457
11406,COM,A,Population municipale,2016,32
11207,COM,A,Population totale,2016,246
12088,COM,A,Population totale,2016,230
11023,COM,A,Population comptée à part,2016,15
10427,COM,A,Population totale,2016,226
12063,COM,A,Population comptée à part,2016,27
10356,COM,A,Population municipale,2016,281
11401,COM,A,Population comptée à part,2016,11
10353,COM,A,Population comptée à part,2016,12
11322,COM,A,Population comptée à part,2016,24
19170,COM,A,Population totale,2016,205
19017,COM,A,Population municipale,2016,92
19052,COM,A,Population municipale,2016,52
19046,COM,A,Population totale,2016,117
19116,COM,A,Population municipale,2016,250
21054,COM,A,Population municipale,2016,21644
19095,COM,A,Population comptée à part,2016,8
18205,COM,A,Population comptée à part,2016,256
19059,COM,A,Population municipale,2016,424
19001,COM,A,Population comptée à part,2016,10
21165,COM,A,Population totale,2016,74
19046,COM,A,Population comptée à part,2016,1
05031,COM,A,Population municipale,2016,185
04084,COM,A,Population municipale,2016,483
07069,COM,A,Population totale,2016,681
06149,COM,A,Population totale,2016,10154
04167,COM,A,Population totale,2016,313
04190,COM,A,Population comptée à part,2016,3
07025,COM,A,Population comptée à part,2016,3
04009,COM,A,Population municipale,2016,15
04065,COM,A,Population municipale,2016,643
05117,COM,A,Population municipale,2016,109
03305,COM,A,Population comptée à part,2016,12
04159,COM,A,Population totale,2016,85
14701,COM,A,Population municipale,2016,809
15028,COM,A,Population totale,2016,361
16223,COM,A,Population municipale,2016,2043
16312,COM,A,Population municipale,2016,835
16083,COM,A,Population municipale,2016,354
16300,COM,A,Population totale,2016,1329
15198,COM,A,Population totale,2016,111
16101,COM,A,Population municipale,2016,1010
16112,COM,A,Population comptée à part,2016,0
16210,COM,A,Population municipale,2016,831
16067,COM,A,Population totale,2016,474
14566,COM,A,Population comptée à part,2016,53
07131,COM,A,Population totale,2016,439
08380,COM,A,Population comptée à part,2016,8
07113,COM,A,Population municipale,2016,288
08111,COM,A,Population totale,2016,800
08121,COM,A,Population totale,2016,152
08281,COM,A,Population comptée à part,2016,9
08315,COM,A,Population comptée à part,2016,2
08031,COM,A,Population comptée à part,2016,4
08026,COM,A,Population municipale,2016,318
08314,COM,A,Population totale,2016,798
08173,COM,A,Population municipale,2016,1716
08167,COM,A,Population totale,2016,89
17129,COM,A,Population comptée à part,2016,8
17420,COM,A,Population comptée à part,2016,46
17443,COM,A,Population municipale,2016,1675
18059,COM,A,Population comptée à part,2016,16
16425,COM,A,Population comptée à part,2016,10
17478,COM,A,Population totale,2016,64
17446,COM,A,Population municipale,2016,458
17305,COM,A,Population totale,2016,443
17158,COM,A,Population totale,2016,882
17237,COM,A,Population municipale,2016,553
17134,COM,A,Population municipale,2016,441
17274,COM,A,Population comptée à part,2016,182
09330,COM,A,Population municipale,2016,29
10052,COM,A,Population totale,2016,229
10130,COM,A,Population totale,2016,116
10053,COM,A,Population municipale,2016,569
09160,COM,A,Population totale,2016,6458
10138,COM,A,Population municipale,2016,132
10305,COM,A,Population totale,2016,93
10251,COM,A,Population totale,2016,255
10215,COM,A,Population comptée à part,2016,7
09262,COM,A,Population municipale,2016,388
09199,COM,A,Population municipale,2016,716
09071,COM,A,Population comptée à part,2016,8
13041,COM,A,Population comptée à part,2016,354
14150,COM,A,Population totale,2016,1356
12256,COM,A,Population totale,2016,385
14016,COM,A,Population totale,2016,438
12265,COM,A,Population comptée à part,2016,6
14274,COM,A,Population totale,2016,2354
14541,COM,A,Population municipale,2016,115
13086,COM,A,Population municipale,2016,8962
13100,COM,A,Population municipale,2016,9612
13018,COM,A,Population comptée à part,2016,60
13020,COM,A,Population totale,2016,2201
14068,COM,A,Population totale,2016,3386
21071,COM,A,Population municipale,2016,717
18211,COM,A,Population totale,2016,713
19129,COM,A,Population totale,2016,693
19034,COM,A,Population totale,2016,242
19006,COM,A,Population comptée à part,2016,0
19270,COM,A,Population comptée à part,2016,4
19162,COM,A,Population totale,2016,1151
18284,COM,A,Population totale,2016,226
21129,COM,A,Population comptée à part,2016,0
19040,COM,A,Population comptée à part,2016,5
21089,COM,A,Population totale,2016,462
18287,COM,A,Population comptée à part,2016,7
11089,COM,A,Population comptée à part,2016,7
12071,COM,A,Population comptée à part,2016,11
11096,COM,A,Population municipale,2016,43
10381,COM,A,Population totale,2016,977
11272,COM,A,Population municipale,2016,2320
11263,COM,A,Population totale,2016,249
11142,COM,A,Population municipale,2016,208
11310,COM,A,Population municipale,2016,225
12066,COM,A,Population comptée à part,2016,26
11365,COM,A,Population totale,2016,38
12008,COM,A,Population totale,2016,828
11242,COM,A,Population totale,2016,169
05149,COM,A,Population comptée à part,2016,14
04041,COM,A,Population comptée à part,2016,2
03315,COM,A,Population comptée à part,2016,42
04001,COM,A,Population totale,2016,1439
07007,COM,A,Population totale,2016,1048
04099,COM,A,Population comptée à part,2016,4
07098,COM,A,Population comptée à part,2016,6
06150,COM,A,Population comptée à part,2016,41
04154,COM,A,Population municipale,2016,84
05148,COM,A,Population municipale,2016,531
05127,COM,A,Population comptée à part,2016,5
05094,COM,A,Population totale,2016,16
16162,COM,A,Population comptée à part,2016,3
15053,COM,A,Population municipale,2016,462
16147,COM,A,Population municipale,2016,269
14619,COM,A,Population totale,2016,123
15205,COM,A,Population totale,2016,110
16206,COM,A,Population totale,2016,2136
14681,COM,A,Population totale,2016,161
16015,COM,A,Population municipale,2016,41935
16260,COM,A,Population totale,2016,272
16163,COM,A,Population municipale,2016,1065
16276,COM,A,Population comptée à part,2016,16
15010,COM,A,Population municipale,2016,176
17214,COM,A,Population comptée à part,2016,11
17053,COM,A,Population municipale,2016,1360
17458,COM,A,Population comptée à part,2016,1
18033,COM,A,Population totale,2016,67841
18106,COM,A,Population comptée à part,2016,4
16340,COM,A,Population totale,2016,1115
16400,COM,A,Population municipale,2016,650
17312,COM,A,Population totale,2016,834
18006,COM,A,Population comptée à part,2016,8
16358,COM,A,Population municipale,2016,7243
17355,COM,A,Population municipale,2016,519
18070,COM,A,Population municipale,2016,205
12210,COM,A,Population municipale,2016,428
14426,COM,A,Population totale,2016,173
12280,COM,A,Population comptée à part,2016,9
14290,COM,A,Population comptée à part,2016,7
14256,COM,A,Population totale,2016,347
13206,ARM,A,Population municipale,2016,43070
13022,COM,A,Population totale,2016,7265
13103,COM,A,Population comptée à part,2016,651
14162,COM,A,Population comptée à part,2016,14
13005,COM,A,Population comptée à part,2016,421
14166,COM,A,Population comptée à part,2016,47
14393,COM,A,Population comptée à part,2016,4
09074,COM,A,Population comptée à part,2016,2
10070,COM,A,Population comptée à part,2016,15
10150,COM,A,Population comptée à part,2016,7
09319,COM,A,Population totale,2016,124
09177,COM,A,Population comptée à part,2016,7
10127,COM,A,Population municipale,2016,65
10004,COM,A,Population municipale,2016,212
10224,COM,A,Population totale,2016,1772
09272,COM,A,Population municipale,2016,1306
09047,COM,A,Population totale,2016,1072
09310,COM,A,Population comptée à part,2016,3
10319,COM,A,Population comptée à part,2016,7
08343,COM,A,Population comptée à part,2016,30
