objetID;dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;zD;prF;depPrF;concessionPrF;absF;cumulF;zF;cote;voie;accrochage;anneeMesureTrafic;typeComptageTrafic;typeComptageTrafic_lib;TMJA;ratio_PL;latitudeD;longitudeD;latitudeF;longitudeF
TMJ19_855;01/01/2019;A0624;520;0;31;N;0;0;0;0;31;N;520;520;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;110105.0;173;43.60555321272328;1.4039877338769133;43.60501070827823;1.3978293554696324
TMJ19_856;01/01/2019;A0624;1163;0;31;N;520;520;0;1;31;N;500;1683;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;104203.0;216;43.60501070827823;1.3978293554696324;43.61023824551259;1.3852672646437523
TMJ19_857;01/01/2019;A0624;2400;1;31;N;500;1683;0;3;31;N;900;4083;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;121778.0;989;43.61023824551259;1.3852672646437523;43.6090382228359;1.3563241676782236
TMJ19_858;01/01/2019;A0630;1064,7;0;33;N;0;0;0;1;33;N;491,7;1064,7;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;108329.0;61;44.885500540771424;-0.508705470556944;44.88291509666296;-0.5213290813009123
TMJ19_859;01/01/2019;A0630;3287;1;33;N;491,7;1064,7;0;4;33;N;855,7;4351,7;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;108329.0;61;44.88291509666296;-0.5213290813009123;44.884498546979025;-0.559828386936606
TMJ19_860;01/01/2019;A0630;137,3;4;33;N;855,7;4351,7;0;5;33;N;0;4489;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;108329.0;61;44.884498546979025;-0.559828386936606;44.88494082730369;-0.5614512611827113
TMJ19_861;01/01/2019;A0630;5899;5;33;N;0;4489;0;10;33;N;600;10388;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;;;44.88494082730369;-0.5614512611827113;44.87959076818322;-0.6280025686239576
TMJ19_862;01/01/2019;A0630;3658;10;33;N;600;10388;0;14;33;N;0;14046;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;84299.0;78;44.87959076818322;-0.6280025686239576;44.85776315473054;-0.6621565223998062
TMJ19_863;01/01/2019;A0630;2001,3;14;33;N;0;14046;0;16;33;N;195,3;16047,3;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;91939.0;62;44.85776315473054;-0.6621565223998062;44.84183404936364;-0.6738046618888349
TMJ19_864;01/01/2019;A0630;1113,7;16;33;N;195,3;16047,3;0;17;33;N;330;17161;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;91939.0;62;44.84183404936364;-0.6738046618888349;44.832220147500934;-0.6764654239311346
TMJ19_865;01/01/2019;A0630;7420;17;33;N;330;17161;0;25;33;N;0;24581;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;102600.0;58;44.832220147500934;-0.6764654239311346;44.78891573112841;-0.6231056076363755
TMJ19_866;01/01/2019;A0630;839;25;33;N;0;24581;0;26;33;N;0;25420;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;136662.0;114;44.78891573112841;-0.6231056076363755;44.78988238895861;-0.6126531944305581
TMJ19_867;01/01/2019;A0630;600;26;33;N;0;25420;0;26;33;N;600;26020;0;I;0;ACCROCHE;0.0;;;;;44.78988238895861;-0.6126531944305581;44.7895711767022;-0.6051708474886189
TMJ19_868;01/01/2019;A0630;3907;26;33;N;600;26020;0;31;33;N;0;29927;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;137484.0;122;44.7895711767022;-0.6051708474886189;44.7776105496766;-0.5592567971888714
TMJ19_869;01/01/2019;A0630;3561;31;33;N;0;29927;0;33;33;N;850;33488;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;143799.0;136;44.7776105496766;-0.5592567971888714;44.80062308689764;-0.5349420733469021
TMJ19_870;01/01/2019;A0630;367;33;33;N;850;33488;0;33;33;N;1217;33855;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;143799.0;136;44.80062308689764;-0.5349420733469021;44.80349593160195;-0.532666027637945
TMJ19_871;01/01/2019;A0631;903;0;33;N;0;0;0;0;33;N;903;903;0;I;0;ACCROCHE;0.0;;;;;44.801172481987614;-0.5343115769700983;44.80773272340827;-0.531776256705749
CONTINUITE_158;01/01/2019;A0641;7032;0;40;C;0;0;0;7;40;C;32;7032;0;I;0;ACCROCHE;;;;;;43.51393499551986;-1.104409348275548;43.56360564232252;-1.1407944519487712
Asf_117;01/01/2019;A0645;5733;0;31;C;0;0;0;5;31;C;733;5733;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;6629.0;11,01;43.10396278319796;0.594141467268924;43.05989470514315;0.5928807498920429
TMJ19_872;01/01/2019;A0660;6085;0;33;N;0;0;0;6;33;N;664;6085;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;27232.0;71;44.634895304578194;-0.8446641361351034;44.63087555135044;-0.9130909073980936
TMJ19_873;01/01/2019;A0660;3736;6;33;N;664;6085;0;10;33;N;400;9821;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;22869.0;63;44.63087555135044;-0.9130909073980936;44.62535321382744;-0.9588422998522365
TMJ19_874;01/01/2019;A0660;11839;10;33;N;400;9821;0;22;33;N;282;21660;0;I;0;ACCROCHE;0.0;;;;;44.62535321382744;-0.9588422998522365;44.615925969687666;-1.1031802811751112
CONTINUITE_159;01/01/2019;A0680;8620;0;31;C;0;0;0;8;31;C;620;8620;0;I;0;ACCROCHE;;;;;;43.682495807552;1.5617521288350775;43.65232297411999;1.6399548360801939
CONTINUITE_160;01/01/2019;A0709;5096;0;34;C;0;0;0;5;34;C;60;5096;0;I;0;ACCROCHE;;;;;;43.67462395446512;4.0215854035917795;43.64397169229694;3.9757630253194156
Asf_245;01/01/2019;A0709;6104;5;34;C;60;5096;0;11;34;C;140;11200;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;69758.0;4,86;43.64397169229694;3.9757630253194156;43.6038097594347;3.9268143042494734
Asf_246;01/01/2019;A0709;6846;11;34;C;140;11200;0;17;34;C;990;18046;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;86583.0;4,59;43.6038097594347;3.9268143042494734;43.57055678482784;3.8574410011764626
Asf_247;01/01/2019;A0709;2970;17;34;C;990;18046;0;20;34;C;953;21016;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;43132.0;6,04;43.57055678482784;3.8574410011764626;43.55856264267874;3.8256516612026217
Aprr_173;01/01/2019;A0710W;1490;11;63;C;0;0;0;12;63;C;490;1490;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;32113.0;1;45.80553637255791;3.1509392947961423;45.806440482936814;3.1317185736985453
TMJ19_875;01/01/2019;A0711;5047;1;63;N;0;0;0;6;63;N;410;5047;0;I;0;ACCROCHE;0.0;;;;;45.77509882013626;3.139056889192971;45.78507822682475;3.196181026341499
Asf_146;01/01/2019;A0711;5589;6;63;N;410;5047;0;11;63;C;999;10636;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;11277.0;7,19;45.78507822682475;3.196181026341499;45.82811037868372;3.2289953776768474
CONTINUITE_161;01/01/2019;A0711;201;11;63;C;999;10636;0;12;63;C;200;10837;0;I;0;ACCROCHE;;;;;;45.82811037868372;3.2289953776768474;45.82849091648285;3.234053000149227
TMJ19_876;01/01/2019;A0712;1336;0;63;N;0;0;0;0;63;N;1336;1336;0;I;0;ACCROCHE;0.0;;;;;45.785075443542546;3.196072643937151;45.784466711785846;3.213015027139376
252;01/01/2019;A0714;230;1;3;C;-230;0;0;1;3;C;0;230;0;I;0;ACCROCHE;;;;;;46.39644970819648;2.711250504185348;46.39537304654581;2.7085349577389906
Aprr_174;01/01/2019;A0714;1255;1;3;C;0;230;0;2;3;C;255;1485;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;10943.0;34,93;46.39537304654581;2.7085349577389906;46.38759197027959;2.696779302239028
Aprr_175;01/01/2019;A0714;7615;2;3;C;255;1485;0;9;3;C;870;9100;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;15561.0;33,46;46.38759197027959;2.696779302239028;46.38046603189813;2.6172089302527826
Aprr_176;01/01/2019;A0714;544;9;3;C;870;9100;0;10;3;C;414;9644;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;17591.0;31,3;46.38046603189813;2.6172089302527826;46.37943455454504;2.6104042777506185
Aprr_177;01/01/2019;A0719;2001;0;3;C;0;0;0;2;3;C;1;2001;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;9711.0;16,95;46.09110456119008;3.1353740921266704;46.10483873765098;3.14323896057219
Aprr_178;01/01/2019;A0719;4910;2;3;C;1;2001;0;6;3;C;911;6911;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;9372.0;22,94;46.10483873765098;3.14323896057219;46.11402808033681;3.200510148188814
Aprr_179;01/01/2019;A0719;2162;6;3;C;911;6911;0;9;3;C;73;9073;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;6141.0;19,41;46.11402808033681;3.200510148188814;46.10593360216638;3.2255829734177883
Aprr_180;01/01/2019;A0719;1838;9;3;C;73;9073;0;10;3;C;911;10911;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;4990.0;16,51;46.10593360216638;3.2255829734177883;46.10265920773395;3.247998390787462
Aprr_181;01/01/2019;A0719;11779;10;3;C;911;10911;0;22;3;C;690;22690;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;4990.0;16,51;46.10265920773395;3.247998390787462;46.12609120803079;3.3625042340711637
TMJ19_877;01/01/2019;A0750;26295;10;34;N;0;0;0;37;34;N;1078;26295;0;I;0;ACCROCHE;0.0;;;;;43.633169285316725;3.7589512308156396;43.655041268809796;3.451147380335627
TMJ19_878;01/01/2019;A0811;3012;0;44;N;0;0;0;2;44;N;948;3012;0;I;0;ACCROCHE;2019.0;8.0;Temporaire journalier;;;47.2964280024389;-1.4771368346775366;47.26952503163069;-1.4798712529688942
TMJ19_879;01/01/2019;A0811;502;2;44;N;948;3012;0;3;44;N;450;3514;0;I;0;ACCROCHE;0.0;;;;;47.26952503163069;-1.4798712529688942;47.26502622497561;-1.4802149127387059
TMJ19_880;01/01/2019;A0811;1250;3;44;N;450;3514;0;4;44;N;700;4764;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;39101.0;150;47.26502622497561;-1.4802149127387059;47.25398547860859;-1.478104039026089
TMJ19_881;01/01/2019;A0811;402;4;44;N;700;4764;0;5;44;N;100;5166;0;I;0;ACCROCHE;2019.0;1.0;Permanent horaire;42869.0;98;47.25398547860859;-1.478104039026089;47.25055185551634;-1.476503925756381
TMJ19_882;01/01/2019;A0811;1825;5;44;N;100;5166;0;6;44;N;920;6991;0;I;0;ACCROCHE;0.0;;;;;47.25055185551634;-1.476503925756381;47.235741557369245;-1.4825160648919138
